titulo;termoLatim;outrosNomes;novasTerminologias;descricao;formaLogica;exemplo1;explicacao1;exemplo2;explicacao2;exemplo3;explicacao3;exemplo4;explicacao4;excecao;curiosidades;variacao;dica;referencias;
falácia de sotaque;accentus;(também conhecido como:  falácia da ênfase, falácia do sotaque, falácia da prosódia, sotaque enganoso) ;;Descrição: Quando o significado de uma palavra, frase ou ideia inteira é interpretado de forma diferente, mudando onde o acento cai. ;Forma Lógica: A reivindicação é feita com ênfase na palavra X, dando à reivindicação o significado de Y. A reivindicação é interpretada com ênfase na palavra A, dando à reivindicação o significado de B. ;Exemplo #1: No filme, Meu Primo Vinny, o personagem de Ralph Maccio, Bill, foi interrogado por suspeita de assassinato. Quando o policial pergunta a ele: "Em que momento você atirou no balconista?" Bill responde em estado de choque: "Eu atirei no balconista? Eu atirei no balconista?" Mais tarde no filme, o policial lê a declaração de Bill como uma confissão no tribunal, "... e ele disse: 'Eu atirei no balconista. Eu atirei no balconista.'" ;Explicação: No filme, parece que o policial entendeu a pergunta de Bill como uma confissão. Portanto, não parecia ser uma tática falaciosa do policial, mas uma falha de pensamento crítico, talvez devido a um forte viés de confirmação (o policial estava muito confiante de que Bill era culpado, portanto, falhou em detectar a nuance da pergunta). ;Exemplo nº 2: No hilário musical da Broadway, O Livro de Mórmon, há um número musical em que um personagem explica como enterrar "maus pensamentos" simplesmente "desligando-os" (como um interruptor de luz). O personagem que explica (em uma canção gloriosa) está especificamente explicando ao personagem principal como suprimir os pensamentos gays quando os "pensamentos ruins" do personagem principal não têm nada a ver com ser gay. Após as instruções, o personagem principal tenta deixar isso claro afirmando: "Não estou tendo pensamentos gays", ao que os outros personagens respondem "Viva! Funcionou!" ;Explicação: A ênfase no "eu sou" foi ignorada e confundida com "Ei, não estou mais tendo pensamentos gays!" Embora fosse uma comédia, retratava uma discussão. ;;;;;;;;Dica: Nossos preconceitos podem fazer com que percamos a nuance vocal. Ouça de forma ativa e crítica e tente não tirar conclusões precipitadas. E você não pode desligar os pensamentos gays como um interruptor de luz. ;Referências: Damer, T. E. (2008). Atacando o raciocínio falho: um guia prático para argumentos livres de falácias. Cengage Learning. ;
falácia do acidente;a dicto simpliciter ad dictum secundum quid;(também conhecido como: destruindo a exceção, dicto secundum quid ad dictum simpliciter, dicto simpliciter, acidente inverso, acidente reverso, falácia da regra geral, generalização abrangente) ;;Descrição: Quando se tenta aplicar uma regra geral a todas as situações em que claramente existem exceções à regra. Regras ou leis simplistas raramente levam em consideração exceções legítimas, e ignorar essas exceções é contornar a razão para preservar a ilusão de uma lei perfeita. As pessoas gostam de simplicidade e muitas vezes preferem manter a simplicidade em detrimento da racionalidade. ;Forma Lógica: X é uma regra comum e aceita. Portanto, não há exceções para X. ;Exemplo 1: Acredito que nunca se deve ferir deliberadamente outra pessoa, por isso nunca poderei ser cirurgião. ;Explicação: Classificar a cirurgia como “magoando” alguém é ignorar os benefícios óbvios que acompanham a cirurgia. Esses tipos de visões extremas raramente são construídos com base na razão. ;Exemplo #2: A Bíblia diz claramente: “Não dirás falso testemunho”. Portanto, como cristão, é melhor você abrir a porta e contar ao nosso vizinho bêbado com a espingarda, que sua esposa, a quem ele está tentando matar, está escondida em nosso porão. Caso contrário, você está desafiando o próprio Deus! ;Explicação: Supor que qualquer lei, mesmo divina, se aplica a todas as pessoas, em todos os tempos, em todas as situações, mesmo que não explicitamente declarada, é uma suposição não fundamentada em evidências e um raciocínio falacioso. ;;;;;Exceção: Declarar a regra geral quando um bom argumento pode ser feito de que a ação em questão é uma violação da regra não seria considerado falacioso. A Bíblia diz: “Não matarás”, portanto, como cristão, é melhor você largar essa motosserra e desamarrar aquela criança. ;;;Dica: É seu direito questionar leis que não entende ou com as quais não concorda. ;Referências: ;
Ad Fidentia;argumentum ad fidentia;(também conhecido como: contra a autoconfiança) ;;Descrição: Atacar a autoconfiança da pessoa no lugar do argumento ou da evidência. ;Forma Lógica: A pessoa 1 afirma que Y é verdadeiro, mas a pessoa 1 está realmente certa disso? Portanto, Y é falso. ;Exemplo 1: Rick: Ontem à noite sonhei que ganhei na loteria! Tenho $ 1.000 economizados, então estou comprando 1.000 ingressos! Vici: Você sabe, os sonhos não são formas precisas de prever o futuro, eles são simplesmente o resultado do disparo aleatório de neurônios. Rick: A última vez que verifiquei, você não é um neurologista ou psicólogo, então você tem certeza de que não estou vendo o futuro? Vici: É possível que você esteja vendo o futuro, eu acho. ;Explicação: Embora Vici esteja tentando argumentar com seu amigo, Rick tenta enfraquecer o argumento de Vici deixando Vici mais inseguro de sua posição. Esta é uma tática falaciosa de Rick, e se Vici cair nela, raciocínio falacioso de sua parte. ;Exemplo #2: Chris: Você afirma que não acredita no mundo espiritual que está ao nosso redor, com espíritos entrando e saindo de nós o tempo todo. Como você pode ter certeza de que não é esse o caso? Você tem 100% de certeza? Joe: Claro que não, como posso ser? Cris: Exatamente! Um ponto para mim! Joo: O que? ;Explicação: Esta é uma falácia comum entre aqueles que defendem o sobrenatural ou qualquer outra coisa não falsificável. Se Joe não fosse um pensador tão razoável, então ele poderia começar a questionar a validade de sua posição, não com base em nenhuma nova contraprova apresentada, mas em um ataque direto à sua autoconfiança. Felizmente para Joe, ele não possui crenças dogmáticas e está perfeitamente ciente da diferença entre possibilidades e probabilidades (veja também apelo à possibilidade). ;;;;;Exceção: Quando alguém reivindica certeza para algo onde a certeza é incognoscível, é seu dever apontar isso. ;;;Dica: Tenha certeza de que você provavelmente ou muito provavelmente está certo, mas evite a certeza dogmática a todo custo em áreas onde a certeza é incognoscível. ;Referências: ;
Resgate ad hoc;ad hoc;(também conhecido como: inventar coisas, falácia MSU) ;;Descrição: Muitas vezes queremos desesperadamente estar certos e nos apegar a certas crenças, apesar de qualquer evidência apresentada em contrário. Como resultado, começamos a inventar desculpas para explicar por que nossa crença ainda pode ser verdadeira, e ainda é verdadeira, apesar do fato de não termos nenhuma evidência real do que estamos inventando. ;Forma Lógica: A afirmação X é verdadeira por causa da evidência Y. A evidência Y é demonstrada como não sendo uma evidência aceitável. Portanto, deve-se adivinhar Z então, mesmo que não haja evidência para adivinhar Z. ;Exemplo 1: Frieda: Só sei que Raymond está esperando para me convidar para sair. Edna: Ele está saindo com Rose há três meses. Frieda: Ele só está saindo com ela para me deixar com ciúmes. Edna: Eles estão noivos. Frieda: Bem, essa é apenas a maneira dele de garantir que eu saiba disso. ;Explicação: Além de estar um pouco iludida, a pobre Frieda se recusa a aceitar as evidências que levam a uma verdade que ela não está pronta para aceitar. Como resultado, ela cria uma razão ad hoc na tentativa de resgatar sua reivindicação inicial. ;Exemplo #2: Mark: O presidente dos EUA é o pior presidente de todos os tempos porque o desemprego nunca foi tão ruim antes! Sam: Na verdade, foi pior em 1982 e muito pior na década de 1930. Além disso, o presidente pode ser apenas parcialmente responsável pela economia durante seu mandato. Mark: Bem... o presidente chuta animais quando ninguém está olhando. ;Explicação: Desesperado, Mark faz uma reclamação sobre o tratamento particular dos animais pelo presidente depois que sua afirmação original foi refutada. ;;;;;Exceção: Propor soluções possíveis é perfeitamente aceitável quando um argumento sugere apenas uma solução possível – especialmente em uma situação hipotética. Por exemplo: “Se Deus não existe, então a vida não tem sentido”. Se não existe um Deus que dê sentido às nossas vidas, talvez sejamos verdadeiramente livres para encontrar o nosso próprio sentido. ;;;Dica: quando você suspeitar que as pessoas estão apenas inventando coisas, em vez de fornecer evidências para apoiar sua afirmação, simplesmente pergunte a elas: “Que evidências você tem para apoiar isso?” ;Referências: ;
Ad Hominem (Abusivo);argumentum ad hominem;(também conhecido como: abuso pessoal, ataques pessoais, falácia abusiva, apelo à pessoa, condenação da fonte, xingamentos, refutação por caricatura, contra a pessoa, contra o homem) ;;Descrição: Atacar a pessoa que está argumentando, em vez do argumento em si, quando o ataque à pessoa é completamente irrelevante para o argumento que a pessoa está apresentando. ;Forma Lógica: A pessoa 1 está reivindicando Y. A pessoa 1 é um idiota. Portanto, Y não é verdadeiro. ;Exemplo 1: Meu oponente sugere que reduzir os impostos será uma boa ideia - isso vem de uma mulher que come meio litro de Ben and Jerry's todas as noites! ;Explicação: O fato de a mulher amar seu sorvete não tem nada a ver com a redução de impostos e, portanto, é irrelevante para o argumento. Os ataques ad hominem geralmente são feitos por desespero quando não se consegue encontrar um contra-argumento decente. ;Exemplo #2: Tony quer que acreditemos que a origem da vida foi um “acidente”. Tony é um filho da puta ímpio que passou mais tempo na prisão do que na igreja, então a única informação que devemos considerar dele é a melhor maneira de fazer placas. ;Explicação: Tony pode ser um filho da puta ímpio. Talvez ele tenha passado mais tempo na junta do que na igreja, mas tudo isso é irrelevante para seu argumento ou verdade de sua afirmação quanto à origem da vida. ;;;;;Exceção: Quando o ataque à pessoa é relevante para o argumento, não é uma falácia. Em nosso primeiro exemplo, se a questão em debate fosse a eliminação de impostos apenas sobre o sorvete Ben and Jerry's, apontar os hábitos alimentares dela seria uma forte evidência de um conflito de interesses. ;;;Dica: quando outros o atacarem verbalmente, considere isso um elogio à qualidade de seu argumento. Geralmente é um sinal de desespero da parte deles. ;Referências: Walton, D. (1998). Argumentos ad hominem. Imprensa da Universidade do Alabama. ;
Ad hominem (circunstancial);argumentum ad hominem;(também conhecido como: apelo ao viés, apelo ao motivo, apelo ao interesse pessoal, argumento de motivos, conflito de interesses, motivos defeituosos, cinismo ingênuo, motivos de questionamento, interesse investido) ;;Descrição: Sugerir que a pessoa que está apresentando o argumento é tendenciosa ou predisposta a assumir uma determinada posição e, portanto, o argumento é necessariamente inválido. ;Forma Lógica: A pessoa 1 está reivindicando Y. A pessoa 1 tem interesse em que Y seja verdadeiro. Portanto, Y é falso. ;Exemplo 1: Vendedor: Este carro fica melhor do que a média de consumo de combustível e é um dos carros mais confiáveis de acordo com o Consumer Reports. Will: Duvido - obviamente você só quer me vender aquele carro. ;Explicação: O fato de o vendedor ter interesse em vender o carro para Will não significa que ele esteja mentindo. Ele pode ser, mas isso não é algo que você possa concluir apenas pelos interesses dele. É razoável supor que os vendedores vendem os produtos e serviços que vendem porque acreditam neles. ;Exemplo #2: Claro, seu ministro diz que acredita em Deus. Caso contrário, ele estaria desempregado. ;Explicação: O fato de os ministros ateus serem tão procurados quanto as prostitutas que “só querem ser amigas”, não significa que os ministros acreditam em Deus só porque precisam de um emprego. ;;;;;Exceção: À medida que o viés ou o conflito de interesses se torna mais relevante para o argumento, geralmente representado pela falta de outras evidências, o argumento é visto menos como uma falácia e mais como um motivo legítimo. Por exemplo, cortesia do Meat Loaf... Garota: Você vai me amar para sempre? Garoto: Deixe-me dormir sobre isso!!! Garota: Você vai me amar para sempre!!! Menino: eu não aguentei mais Senhor, eu estava louco E quando o sentimento veio sobre mim Como um maremoto Comecei a jurar pelo meu deus e no túmulo da minha mãe Que eu te amaria até o fim dos tempos Jurei que te amaria até o fim dos tempos! ;;;Dica: quando você souber que tem algo a ganhar com a posição que ocupa (supondo, é claro, que você não seja culpado dessa falácia por ocupar a posição), seja franco e fale sobre isso antes que outra pessoa o faça. Apoiar esta causa é a coisa certa a fazer. Sim, como treinador de beisebol, vou me beneficiar do novo campo, mas meu benefício é insignificante em comparação com o benefício que as crianças desta cidade receberão. Afinal, são eles que realmente importam aqui. ;Referências: ;
Ad Hominem (Culpa por Associação);argumentum ad hominem;(também conhecido como: falácia de associação, falácia de má empresa, falácia de empresa que você mantém, falácia de eles não são como nós, falácia de transferência) ;;Descrição: Quando a fonte é vista negativamente por causa de sua associação com outra pessoa ou grupo que já é visto negativamente. ;Forma Lógica: A pessoa 1 afirma que Y é verdadeiro. A pessoa 2 também afirma que Y é verdadeiro e a pessoa 2 é um idiota. Portanto, a pessoa 1 deve ser um idiota também. ;Exemplo 1: Delores é uma grande defensora de salário igual para trabalho igual. Esta é a mesma política que todos esses grupos feministas radicais apoiam. Extremistas como Delores não devem ser levados a sério - pelo menos politicamente. ;Explicação: Fazer a suposição de que Delores é uma feminista extrema simplesmente porque ela apóia uma política que praticamente todos os homens e mulheres também apóiam é falacioso. ;Exemplo #2: Pol Pot, o revolucionário maoísta cambojano, era contra a religião e era um homem muito mau. Frankie é contra a religião, portanto, Frankie também deve ser um homem muito mau. ;Explicação: O fato de Pol Pot e Frankie compartilharem uma visão particular não significa que eles sejam idênticos em outros aspectos não relacionados, especificamente, sendo um homem muito mau. Pol Pot não era um homem mau porque era contra a religião, ele era um homem mau por suas ações genocidas. ;Exemplo #3: Callie: Você sabia que Jake Tooten era racista? Chris: Eu conheço Jake bem. Por que você diz que ele é racista? Callie: Ele estava em um podcast outro dia... Chris: Ele disse algo racista? Callie: Não, mas o apresentador do podcast deu uma entrevista há dois anos com uma mulher que disse apoiar uma organização que tinha uma história de racismo na década de 1960. Jake claramente apóia o racismo! ;Explicação: Neste caso, Jake Tooten é a “fonte” que é vista negativamente (como racista) por causa de sua associação com a organização referenciada. Observe que sua “associação” com esse grupo não diz nada sobre suas crenças, o que torna isso falacioso. É ainda mais falacioso devido a 1) Jake estar vários passos afastado desta organização e 2) a história de racismo da organização, em vez da posição atual da organização sobre o racismo. Callie realmente estava certa, mas pelo motivo errado. Jake dirige um grupo de jovens nazistas. ;;;Exceção: Se alguém puder demonstrar que a conexão entre as duas características que foram herdadas por associação é causalmente ligada, ou a probabilidade de assumir uma característica seria alta, então ela seria válida. No exemplo nº 1, se Delores apoiasse a posição “todos os homens devem ser castrados”, podemos chamá-la de “extremista”. No exemplo nº 2, se usássemos “crianças assassinadas” em vez de “contra a religião”, a alegação de ser um “homem muito mau” seria justificada. No exemplo nº 3, se Jake aparecesse no podcast intitulado “Eu sou racista e você também deveria ser”, a afirmação de Callie de que Jake é racista seria justificada. ;;;Dica: As pessoas mudam. Perdoe as associações questionáveis do passado, especialmente se eles perceberem e admitirem que essas associações estavam erradas. ;Referências: ;
Ad Hominem (Tu quoque);argumentum ad hominem tu quoque;(também conhecido como: apelo à hipocrisia, falácia do “você também”, hipocrisia, inconsistência pessoal) ;;Descrição: Reivindicar o argumento é falho ao apontar que aquele que apresenta o argumento não está agindo de forma consistente com as reivindicações do argumento. ;Forma Lógica: A pessoa 1 está afirmando que Y é verdadeiro, mas a pessoa 1 está agindo como se Y não fosse verdadeiro. Portanto, Y não deve ser verdadeiro. ;Exemplo 1: Helga: Não devias comer isso... está cientificamente provado que comer hambúrguer gordo não faz bem à saúde. Hugh: Você come hambúrgueres gordos o tempo todo, então isso não pode ser verdade. ;Explicação: Não importa (pelo menos para a alegação de verdade do argumento) se Helga segue seu próprio conselho ou não. Embora possa parecer que a razão pela qual ela não segue seu próprio conselho é que ela não acredita que seja verdade, também pode ser que aqueles hambúrgueres gordos sejam irresistíveis demais. ;Exemplo #2: Jimmy Swaggart argumentou fortemente contra a imoralidade sexual, mas enquanto casado, ele teve vários casos com prostitutas, portanto, a imoralidade sexual é aceitável. ;Explicação: O fato de Jimmy Swaggart gostar de jogar uma partida de golfe no quarto com algumas senhoras empreendedoras locais não é evidência de imoralidade sexual em geral, apenas que ele é sexualmente imoral. ;;;;;Exceção: Se Jimbo insistisse que suas ações estavam de acordo com a moralidade sexual, então seria uma parte muito pertinente do argumento. ;;;Dica: novamente, admita quando sua falta de autocontrole ou força de vontade não tiver nada a ver com a afirmação de verdade da proposição. O seguinte é o que me lembro de meu pai me contando sobre fumar (ele fumava cerca de quatro maços por dia desde os 14 anos). Bo, nunca seja um idiota idiota como eu e comece a fumar. É um hábito nojento que sei que acabará por me matar. Se você nunca começar, nunca perderá. Meu pai morreu aos 69 anos - de câncer de pulmão. Nunca toquei em um cigarro na minha vida e nunca pretendo tocar em um. ;Referências: ;
Conclusão afirmativa de uma premissa negativa;;(também conhecido como: negativo ilícito, tirar uma conclusão afirmativa de premissas negativas, falácia de premissas negativas) Esta é a nossa primeira falácia na lógica formal de cerca de uma dúzia apresentada neste livro. As falácias formais podem ser confusas e complexas e não são tão comuns em situações cotidianas, portanto, não se sinta perdido ao ler as falácias formais - faça o possível para entendê-las da mesma forma que faço o possível para torná-las compreensíveis. ;Nova terminologia: Silogismo: um argumento que normalmente consiste em três partes: uma premissa maior, uma premissa menor e uma conclusão. Termo categórico: geralmente expresso gramaticalmente como um substantivo ou frase nominal, cada termo categórico designa uma classe de coisas. Proposição categórica: une exatamente dois termos categóricos e afirma que existe alguma relação entre as classes que eles designam. Silogismo categórico: um argumento que consiste em exatamente três proposições categóricas: uma premissa maior, uma premissa menor e uma conclusão, na qual aparece um total de exatamente três termos categóricos, cada um dos quais é usado exatamente duas vezes. ;Descrição: A conclusão de um silogismo categórico de forma padrão é afirmativa, mas pelo menos uma das premissas é negativa. Quaisquer formas válidas de silogismos categóricos que afirmam uma premissa negativa devem ter uma conclusão negativa. ;Forma Lógica: Qualquer forma de silogismo categórico com uma conclusão afirmativa e pelo menos uma premissa negativa. ;Exemplo 1: Nenhuma pessoa com menos de 66 anos é idosa. Nenhum idoso é criança. Portanto, todas as pessoas com menos de 66 anos são crianças. ;Explicação: Neste caso, a conclusão é obviamente contrafactual, embora ambas as premissas sejam verdadeiras. Por que? Porque este é um silogismo categórico onde temos uma ou mais premissas negativas (isto é, “sem pessoas...” e “sem idosos...”), e estamos tentando tirar uma conclusão positiva (afirmativa) (isto é, "todas as pessoas..."). ;Exemplo #2: Nenhum burro é peixe. Alguns burros são burros. Portanto, alguns burros são peixes. ;Explicação: Este é um silogismo categórico em que temos uma única premissa negativa (ou seja, “sem burros”) e estamos tentando chegar a uma conclusão positiva (afirmativa) (ou seja, “alguns burros”). Em uma nota um tanto relacionada, alguns advogados são burros. ;;;;;Exceção: Sem exceções, pois esta é uma falácia formal. ;;;Dica: Silogismos e identificação de falácias formais (pelo menos pela forma) são comuns em testes de inteligência. Saiba disso e seja mais inteligente (pelo menos no papel). ;Referências: ;
Afirmando um Disjunto;;(também conhecido como: a falácia do disjunto alternativo, falso disjuntivo excludente, afirmando um disjunto, a falácia do silogismo alternativo, afirmando uma alternativa, silogismo disjuntivo impróprio, falácia do silogismo disjuntivo) ;Nova terminologia: Disjunção: Uma proposição da forma "ou/ou", que é verdadeira se um ou ambos os seus componentes proposicionais forem verdadeiros, caso contrário, é falso. Disjunto: Um dos componentes proposicionais de uma disjunção. ;Descrição: Fazer a falsa suposição de que, quando apresentado a uma possibilidade ou/ou, se uma das opções for verdadeira, a outra deve ser falsa. É quando o “ou” não é explicitamente definido como exclusivo. Essa falácia é semelhante à falácia do contraste injustificado. ;Formas Lógicas: P ou Q. P. Portanto, não Q. P ou Q. Q. Portanto, não P. ;Exemplo 1: Não consigo parar de comer esses chocolates. Eu realmente amo chocolate, ou eu realmente não tenho força de vontade. Eu sei que realmente amo chocolate, portanto, não pode me faltar força de vontade. ;Explicação: Ignorando o possível falso dilema, o fato de alguém gostar muito de chocolate não exclui automaticamente a outra possibilidade de falta de força de vontade. ;Exemplo #2: Estou indo para a cama ou assistindo TV. Estou exausto, então vou para a cama, portanto, não posso assistir TV. ;Explicação: É lógica e fisicamente possível ir para a cama e assistir TV ao mesmo tempo, eu sei disso, pois faço isso quase todas as noites. O “ou” não exclui logicamente a opção não escolhida. ;;;;;Exceção: Se as escolhas são mutuamente exclusivas (seja por necessidade ou indicadas pela palavra “qualquer um”), então pode-se deduzir que a outra escolha deve ser falsa. Mais uma vez, estamos trabalhando sob a suposição de que uma das escolhas que nos são dadas representa a verdade. Hoje é segunda ou domingo. É segunda-feira. Portanto, não é domingo. Na lógica formal, o acima é referido como um silogismo disjuntivo válido. Se você está pensando: “Mas pode ser segunda-feira e domingo se estivermos falando de dois fusos horários diferentes”, dê a si mesmo três pontos por ser inteligente e subtraia quatro pontos por não entender todo o ponto da falácia. ;;;;Referências: ;
