id;exemplo1;explicacao1;exemplo2;explicacao2;exemplo3;explicacao3;exemplo4;explicacao4;
1;No filme, Meu Primo Vinny, o personagem de Ralph Maccio, Bill, foi interrogado por suspeita de assassinato. Quando o policial pergunta a ele: ""Em que momento você atirou no balconista?"" Bill responde em estado de choque: ""Eu atirei no balconista? Eu atirei no balconista?"" Mais tarde no filme, o policial lê a declaração de Bill como uma confissão no tribunal, ""... e ele disse: 'Eu atirei no balconista. Eu atirei no balconista.'"" ;No filme, parece que o policial entendeu a pergunta de Bill como uma confissão. Portanto, não parecia ser uma tática falaciosa do policial, mas uma falha de pensamento crítico, talvez devido a um forte viés de confirmação (o policial estava muito confiante de que Bill era culpado, portanto, falhou em detectar a nuance da pergunta).;No hilário musical da Broadway, O Livro de Mórmon, há um número musical em que um personagem explica como enterrar ""maus pensamentos"" simplesmente ""desligando-os"" (como um interruptor de luz). O personagem que explica (em uma canção gloriosa) está especificamente explicando ao personagem principal como suprimir os pensamentos gays quando os ""pensamentos ruins"" do personagem principal não têm nada a ver com ser gay. Após as instruções, o personagem principal tenta deixar isso claro afirmando: ""Não estou tendo pensamentos gays"", ao que os outros personagens respondem ""Viva! Funcionou!"" ;A ênfase no ""eu sou"" foi ignorada e confundida com ""Ei, não estou mais tendo pensamentos gays!"" Embora fosse uma comédia, retratava uma discussão. ;;;;;
2;Acredito que nunca se deve ferir deliberadamente outra pessoa, por isso nunca poderei ser cirurgião.;Classificar a cirurgia como “magoando” alguém é ignorar os benefícios óbvios que acompanham a cirurgia. Esses tipos de visões extremas raramente são construídos com base na razão.;A Bíblia diz claramente: “Não dirás falso testemunho”. Portanto, como cristão, é melhor você abrir a porta e contar ao nosso vizinho bêbado com a espingarda, que sua esposa, a quem ele está tentando matar, está escondida em nosso porão. Caso contrário, você está desafiando o próprio Deus!;Supor que qualquer lei, mesmo divina, se aplica a todas as pessoas, em todos os tempos, em todas as situações, mesmo que não explicitamente declarada, é uma suposição não fundamentada em evidências e um raciocínio falacioso.;;;;;
3;Rick: Ontem à noite sonhei que ganhei na loteria! Tenho $ 1.000 economizados, então estou comprando 1.000 ingressos! Vici: Você sabe, os sonhos não são formas precisas de prever o futuro, eles são simplesmente o resultado do disparo aleatório de neurônios. Rick: A última vez que verifiquei, você não é um neurologista ou psicólogo, então você tem certeza de que não estou vendo o futuro? Vici: É possível que você esteja vendo o futuro, eu acho.;Embora Vici esteja tentando argumentar com seu amigo, Rick tenta enfraquecer o argumento de Vici deixando Vici mais inseguro de sua posição. Esta é uma tática falaciosa de Rick, e se Vici cair nela, raciocínio falacioso de sua parte.;Chris: Você afirma que não acredita no mundo espiritual que está ao nosso redor, com espíritos entrando e saindo de nós o tempo todo. Como você pode ter certeza de que não é esse o caso? Você tem 100% de certeza? Joe: Claro que não, como posso ser? Cris: Exatamente! Um ponto para mim! Joo: O que?;Esta é uma falácia comum entre aqueles que defendem o sobrenatural ou qualquer outra coisa não falsificável. Se Joe não fosse um pensador tão razoável, então ele poderia começar a questionar a validade de sua posição, não com base em nenhuma nova contraprova apresentada, mas em um ataque direto à sua autoconfiança. Felizmente para Joe, ele não possui crenças dogmáticas e está perfeitamente ciente da diferença entre possibilidades e probabilidades (veja também apelo à possibilidade).;;;;;
4;Frieda: Só sei que Raymond está esperando para me convidar para sair. Edna: Ele está saindo com Rose há três meses. Frieda: Ele só está saindo com ela para me deixar com ciúmes. Edna: Eles estão noivos. Frieda: Bem, essa é apenas a maneira dele de garantir que eu saiba disso.;Além de estar um pouco iludida, a pobre Frieda se recusa a aceitar as evidências que levam a uma verdade que ela não está pronta para aceitar. Como resultado, ela cria uma razão ad hoc na tentativa de resgatar sua reivindicação inicial.;Mark: O presidente dos EUA é o pior presidente de todos os tempos porque o desemprego nunca foi tão ruim antes! Sam: Na verdade, foi pior em 1982 e muito pior na década de 1930. Além disso, o presidente pode ser apenas parcialmente responsável pela economia durante seu mandato. Mark: Bem... o presidente chuta animais quando ninguém está olhando.;Desesperado, Mark faz uma reclamação sobre o tratamento particular dos animais pelo presidente depois que sua afirmação original foi refutada.;;;;;
5;Meu oponente sugere que reduzir os impostos será uma boa ideia - isso vem de uma mulher que come meio litro de Ben and Jerry's todas as noites!;O fato de a mulher amar seu sorvete não tem nada a ver com a redução de impostos e, portanto, é irrelevante para o argumento. Os ataques ad hominem geralmente são feitos por desespero quando não se consegue encontrar um contra-argumento decente.;Tony quer que acreditemos que a origem da vida foi um “acidente”. Tony é um filho da puta ímpio que passou mais tempo na prisão do que na igreja, então a única informação que devemos considerar dele é a melhor maneira de fazer placas.;Tony pode ser um filho da puta ímpio. Talvez ele tenha passado mais tempo na junta do que na igreja, mas tudo isso é irrelevante para seu argumento ou verdade de sua afirmação quanto à origem da vida.;;;;;
6;Vendedor: Este carro fica melhor do que a média de consumo de combustível e é um dos carros mais confiáveis de acordo com o Consumer Reports. Will: Duvido - obviamente você só quer me vender aquele carro.;O fato de o vendedor ter interesse em vender o carro para Will não significa que ele esteja mentindo. Ele pode ser, mas isso não é algo que você possa concluir apenas pelos interesses dele. É razoável supor que os vendedores vendem os produtos e serviços que vendem porque acreditam neles.;Claro, seu ministro diz que acredita em Deus. Caso contrário, ele estaria desempregado.;O fato de os ministros ateus serem tão procurados quanto as prostitutas que “só querem ser amigas”, não significa que os ministros acreditam em Deus só porque precisam de um emprego.;;;;;
7;Delores é uma grande defensora de salário igual para trabalho igual. Esta é a mesma política que todos esses grupos feministas radicais apoiam. Extremistas como Delores não devem ser levados a sério - pelo menos politicamente.;Fazer a suposição de que Delores é uma feminista extrema simplesmente porque ela apóia uma política que praticamente todos os homens e mulheres também apóiam é falacioso.;Pol Pot, o revolucionário maoísta cambojano, era contra a religião e era um homem muito mau. Frankie é contra a religião, portanto, Frankie também deve ser um homem muito mau.;O fato de Pol Pot e Frankie compartilharem uma visão particular não significa que eles sejam idênticos em outros aspectos não relacionados, especificamente, sendo um homem muito mau. Pol Pot não era um homem mau porque era contra a religião, ele era um homem mau por suas ações genocidas.;Callie: Você sabia que Jake Tooten era racista? Chris: Eu conheço Jake bem. Por que você diz que ele é racista? Callie: Ele estava em um podcast outro dia... Chris: Ele disse algo racista? Callie: Não, mas o apresentador do podcast deu uma entrevista há dois anos com uma mulher que disse apoiar uma organização que tinha uma história de racismo na década de 1960. Jake claramente apóia o racismo!;Neste caso, Jake Tooten é a “fonte” que é vista negativamente (como racista) por causa de sua associação com a organização referenciada. Observe que sua “associação” com esse grupo não diz nada sobre suas crenças, o que torna isso falacioso. É ainda mais falacioso devido a 1) Jake estar vários passos afastado desta organização e 2) a história de racismo da organização, em vez da posição atual da organização sobre o racismo. Callie realmente estava certa, mas pelo motivo errado. Jake dirige um grupo de jovens nazistas.;;;
8;Helga: Não devias comer isso... está cientificamente provado que comer hambúrguer gordo não faz bem à saúde. Hugh: Você come hambúrgueres gordos o tempo todo, então isso não pode ser verdade.;Não importa (pelo menos para a alegação de verdade do argumento) se Helga segue seu próprio conselho ou não. Embora possa parecer que a razão pela qual ela não segue seu próprio conselho é que ela não acredita que seja verdade, também pode ser que aqueles hambúrgueres gordos sejam irresistíveis demais.;Jimmy Swaggart argumentou fortemente contra a imoralidade sexual, mas enquanto casado, ele teve vários casos com prostitutas, portanto, a imoralidade sexual é aceitável.;O fato de Jimmy Swaggart gostar de jogar uma partida de golfe no quarto com algumas senhoras empreendedoras locais não é evidência de imoralidade sexual em geral, apenas que ele é sexualmente imoral.;;;;;
9;Nenhuma pessoa com menos de 66 anos é idosa. Nenhum idoso é criança. Portanto, todas as pessoas com menos de 66 anos são crianças.;Neste caso, a conclusão é obviamente contrafactual, embora ambas as premissas sejam verdadeiras. Por que? Porque este é um silogismo categórico onde temos uma ou mais premissas negativas (isto é, “sem pessoas...” e “sem idosos...”), e estamos tentando tirar uma conclusão positiva (afirmativa) (isto é, ""todas as pessoas...""). ;Nenhum burro é peixe. Alguns burros são burros. Portanto, alguns burros são peixes.;Este é um silogismo categórico em que temos uma única premissa negativa (ou seja, “sem burros”) e estamos tentando chegar a uma conclusão positiva (afirmativa) (ou seja, “alguns burros”). Em uma nota um tanto relacionada, alguns advogados são burros.;;;;;
10;Não consigo parar de comer esses chocolates. Eu realmente amo chocolate, ou eu realmente não tenho força de vontade. Eu sei que realmente amo chocolate, portanto, não pode me faltar força de vontade.;Ignorando o possível falso dilema, o fato de alguém gostar muito de chocolate não exclui automaticamente a outra possibilidade de falta de força de vontade.;Estou indo para a cama ou assistindo TV. Estou exausto, então vou para a cama, portanto, não posso assistir TV.;É lógica e fisicamente possível ir para a cama e assistir TV ao mesmo tempo, eu sei disso, pois faço isso quase todas as noites. O “ou” não exclui logicamente a opção não escolhida.;;;;;
