5;Ad Hominem (Abusivo);abuso pessoal, ataques pessoais, falácia abusiva, apelo à pessoa, condenação da fonte, xingamentos, refutação por caricatura, contra a pessoa, contra o homem;argumentum ad hominem;Atacar a pessoa que está argumentando, em vez do argumento em si, quando o ataque à pessoa é completamente irrelevante para o argumento que a pessoa está apresentando.;A pessoa 1 está reivindicando Y. A pessoa 1 é um idiota. Portanto, Y não é verdadeiro.;Quando o ataque à pessoa é relevante para o argumento, não é uma falácia. Em nosso primeiro exemplo, se a questão em debate fosse a eliminação de impostos apenas sobre o sorvete Ben and Jerry's, apontar os hábitos alimentares dela seria uma forte evidência de um conflito de interesses.;;;;quando outros o atacarem verbalmente, considere isso um elogio à qualidade de seu argumento. Geralmente é um sinal de desespero da parte deles. 
6;Ad hominem (circunstancial);apelo ao viés, apelo ao motivo, apelo ao interesse pessoal, argumento de motivos, conflito de interesses, motivos defeituosos, cinismo ingênuo, motivos de questionamento, interesse investido;argumentum ad hominem;Sugerir que a pessoa que está apresentando o argumento é tendenciosa ou predisposta a assumir uma determinada posição e, portanto, o argumento é necessariamente inválido.;A pessoa 1 está reivindicando Y. A pessoa 1 tem interesse em que Y seja verdadeiro. Portanto, Y é falso.;À medida que o viés ou o conflito de interesses se torna mais relevante para o argumento, geralmente representado pela falta de outras evidências, o argumento é visto menos como uma falácia e mais como um motivo legítimo. Por exemplo, cortesia do Meat Loaf... Garota: Você vai me amar para sempre? Garoto: Deixe-me dormir sobre isso!!! Garota: Você vai me amar para sempre!!! Menino: eu não aguentei mais Senhor, eu estava louco E quando o sentimento veio sobre mim Como um maremoto Comecei a jurar pelo meu deus e no túmulo da minha mãe Que eu te amaria até o fim dos tempos Jurei que te amaria até o fim dos tempos!;;;;quando você souber que tem algo a ganhar com a posição que ocupa (supondo, é claro, que você não seja culpado dessa falácia por ocupar a posição), seja franco e fale sobre isso antes que outra pessoa o faça. Apoiar esta causa é a coisa certa a fazer. Sim, como treinador de beisebol, vou me beneficiar do novo campo, mas meu benefício é insignificante em comparação com o benefício que as crianças desta cidade receberão. Afinal, são eles que realmente importam aqui. 
7;Ad Hominem (Culpa por Associação);falácia de associação, falácia de má empresa, falácia de empresa que você mantém, falácia de eles não são como nós, falácia de transferência;argumentum ad hominem;Quando a fonte é vista negativamente por causa de sua associação com outra pessoa ou grupo que já é visto negativamente.;A pessoa 1 afirma que Y é verdadeiro. A pessoa 2 também afirma que Y é verdadeiro e a pessoa 2 é um idiota. Portanto, a pessoa 1 deve ser um idiota também.;Se alguém puder demonstrar que a conexão entre as duas características que foram herdadas por associação é causalmente ligada, ou a probabilidade de assumir uma característica seria alta, então ela seria válida. No exemplo nº 1, se Delores apoiasse a posição “todos os homens devem ser castrados”, podemos chamá-la de “extremista”. No exemplo nº 2, se usássemos “crianças assassinadas” em vez de “contra a religião”, a alegação de ser um “homem muito mau” seria justificada. No exemplo nº 3, se Jake aparecesse no podcast intitulado “Eu sou racista e você também deveria ser”, a afirmação de Callie de que Jake é racista seria justificada.;;;;As pessoas mudam. Perdoe as associações questionáveis do passado, especialmente se eles perceberem e admitirem que essas associações estavam erradas. 
8;Ad Hominem (Tu quoque);apelo à hipocrisia, falácia do “você também”, hipocrisia, inconsistência pessoal;argumentum ad hominem tu quoque;Reivindicar o argumento é falho ao apontar que aquele que apresenta o argumento não está agindo de forma consistente com as reivindicações do argumento.;A pessoa 1 está afirmando que Y é verdadeiro, mas a pessoa 1 está agindo como se Y não fosse verdadeiro. Portanto, Y não deve ser verdadeiro.;Se Jimbo insistisse que suas ações estavam de acordo com a moralidade sexual, então seria uma parte muito pertinente do argumento.;;;;novamente, admita quando sua falta de autocontrole ou força de vontade não tiver nada a ver com a afirmação de verdade da proposição. O seguinte é o que me lembro de meu pai me contando sobre fumar (ele fumava cerca de quatro maços por dia desde os 14 anos). Bo, nunca seja um idiota idiota como eu e comece a fumar. É um hábito nojento que sei que acabará por me matar. Se você nunca começar, nunca perderá. Meu pai morreu aos 69 anos - de câncer de pulmão. Nunca toquei em um cigarro na minha vida e nunca pretendo tocar em um. 
9;Conclusão afirmativa de uma premissa negativa;negativo ilícito, tirar uma conclusão afirmativa de premissas negativas, falácia de premissas negativas) Esta é a nossa primeira falácia na lógica formal de cerca de uma dúzia apresentada neste livro. As falácias formais podem ser confusas e complexas e não são tão comuns em situações cotidianas, portanto, não se sinta perdido ao ler as falácias formais - faça o possível para entendê-las da mesma forma que faço o possível para torná-las compreensíveis;;A conclusão de um silogismo categórico de forma padrão é afirmativa, mas pelo menos uma das premissas é negativa. Quaisquer formas válidas de silogismos categóricos que afirmam uma premissa negativa devem ter uma conclusão negativa.;Qualquer forma de silogismo categórico com uma conclusão afirmativa e pelo menos uma premissa negativa.;Sem exceções, pois esta é uma falácia formal.;;;;Silogismos e identificação de falácias formais (pelo menos pela forma) são comuns em testes de inteligência. Saiba disso e seja mais inteligente (pelo menos no papel). 
10;Afirmando um Disjunto;a falácia do disjunto alternativo, falso disjuntivo excludente, afirmando um disjunto, a falácia do silogismo alternativo, afirmando uma alternativa, silogismo disjuntivo impróprio, falácia do silogismo disjuntivo;;Fazer a falsa suposição de que, quando apresentado a uma possibilidade ou/ou, se uma das opções for verdadeira, a outra deve ser falsa. É quando o “ou” não é explicitamente definido como exclusivo. Essa falácia é semelhante à falácia do contraste injustificado.;P ou Q. P. Portanto, não Q. P ou Q. Q. Portanto, não P.;Se as escolhas são mutuamente exclusivas (seja por necessidade ou indicadas pela palavra “qualquer um”), então pode-se deduzir que a outra escolha deve ser falsa. Mais uma vez, estamos trabalhando sob a suposição de que uma das escolhas que nos são dadas representa a verdade. Hoje é segunda ou domingo. É segunda-feira. Portanto, não é domingo. Na lógica formal, o acima é referido como um silogismo disjuntivo válido. Se você está pensando: “Mas pode ser segunda-feira e domingo se estivermos falando de dois fusos horários diferentes”, dê a si mesmo três pontos por ser inteligente e subtraia quatro pontos por não entender todo o ponto da falácia.;;;;
;;;;;;;;;;
11;Afirmando o Conseqüente;erro inverso, falácia do conseqüente, afirmando o conseqüente, afirmação do conseqüente;;Um erro na lógica formal em que se o consequente é considerado verdadeiro, o antecedente é considerado verdadeiro, como resultado.;Se P então Q. Q. Portanto, p.;Nenhuma.;;;;Se estiver amarelo, lave-o também. Especialmente, se você é casado e quer continuar assim. 
12;Certeza Alegada;assumindo a conclusão;;Afirmar uma conclusão sem evidências ou premissas, por meio de uma afirmação que faz com que a conclusão pareça certa quando, na verdade, não é.;Todo mundo sabe que X é verdadeiro. Portanto, X é verdadeiro.;Fatos que pareceriam tolice não assumir, podem ser assumidos - mas deve-se estar preparado para apoiar a suposição, não importa o quão certo alguém possa estar. Todos sabemos que, sem água, não podemos sobreviver.;;;;Substitua a palavra “certo” em sua vida pela frase “muito provável” ou “muito confiante”. 
13;Sopa de alfabeto;;;O uso deliberado e excessivo de siglas e abreviações para parecer mais entendido no assunto ou confundir os outros.;A pessoa 1 usa acrônimos e abreviações. Portanto, a pessoa 1 sabe do que está falando.;"Excessivo"""" é subjetivo. Siglas e abreviaturas são perfeitamente aceitáveis em muitas situações. ";;;;não seja tão rápido em assumir intenções nefastas. Às vezes, as pessoas simplesmente não sabem que estão usando demais esse tipo de linguagem. 
