Fonte ;Categoria da Falacia;Nome da Falacia;Nome em Latim;Descricao;Exemplo 1;Exemplo 2;Exemplo 3;Argumentação valida;;;;;
1;Formais;Afirmando o Consequente;;Esta falácia tem a aparência de uma inferência logicamente válida, mas na verdade é inválida. Ela é uma das falácias formais.;Se vcê cair da piscina, ficará todo molhado. Você está todo molhado, logo caiu na piscina.;;;;Fonte1: ;http://falaciasonline.wikidot.com/tipos-de-falacias;;;
1;Formais;Negando o Antecedente;;Esta é outra das falácias que tem origem em má interpretação de princípios lógicos simples.;""" Se o preço das ações subir, você ficará rico. O preço das ações não subiu, portanto você não ficou rico.""
Posso ter recebido uma herança, ganhado na loteria, achado uma malha cheia de dinheiro, etc.";;;;Fonte2: ;http://ateus.net/artigos/ceticismo/guia-de-falacias-logicas-do-stephen;;;
1;Informais;Apelo à Pena;Ad Misericordiam;A aceitação do argumento é justificado pelo uso de termos que procuram conquistar a simpatia ou a ligação emocional das pessoas com o objeto da conclusão, mesmo desconsiderando as evidências do contrário.;"Advogado: "" A promotoria acaba de demonstrar que o réu matou seu pai e sua mãe.""
Réu: ""Como podem vocês me condenar? Não veem que agora eu sou um pobre orfão?""";;;;Fonte3: ;https://www.logicallyfallacious.com/logicalfallacies/search;;;
1;Informais;Apelo à Ignorância;Ad Ignorantum;"Este é um argumento falacioso que conclui que algo é 
verdadeiro só porque não pode ser provado como falso, ou vice-versa.";"""Como não provaram que fantasmas não existem, então eles devem existir.""";"""Existe vida em outro planeta, pois nunca provaram o contrário.""";;"Ele é válido quando quem está propondo o argumento não consegue provar sua veracidade, ou quando o argumentador consegue provar.
Ex.:
""Como a promotoria não conseguiu provar que o réu é culpado, declaramos que ele é inocente.""";Fonte4: ;https://en.wikipedia.org/wiki/List_of_fallacies;;;
1;Informais;Apelo à Autoridade;Ad Verecundiam;Ocorre quando procuramos suportar o argumento na declaração de uma autoridade que faz comentário fora de sua área de especialidade.;"""Albert Einstein falou que a cada maço de cigarros que alguém fuma, terá sua vida reduzida em 5 dias.""

Nesse caso, Albert Einstein podia ser considerado uma autoridade se estivesse falando sobre física ou algo sobre suas teorias de relatividade. Mas não podia falar nada como um médico na situação apresentada acima.
O apelo à autoridade é uma tentativa de extender a especialidade ou notoriedade de alguém além de sua reconhecida área de competência.";;;;;;;;
1;Informais;"Apelo à Força (ou ""Apelo à Ameaça"")";;Este caso ocorre quando a tentativa de persuadir alguém é feito não através da força da argumentação, mas sim pelo uso de ameaças. É claro que nestes casos pouco importa a qualidade das premissas, já que a força é o que se está propondo indevidamente como justificativa da conclusão.;"Filho falando à mãe:
""Mãe, porque tenho que tomar banho todos os dias?""
""Porque sim, não discuta, sou sua mãe e se você não me obedecer, ficará de castigo.""

O apelo à força na relação pais/filhos é muito comum. Acontece principalmente quando os pais não dispõem mais de ""energias"" para poder argumentar com os filhos. Basta saber que, embora conveniente em certos casos, essa construção que apela para castigos e punições não é uma forma correta de argumentação.";;;;;;;;
1;Informais;Apelo ao Público;;Justifica-se o argumento falaciosos por causa de sua popularidade, ou seja, a maioria concorda com o que se está alegando.;"“Todos estão votando em Ricardo para ser o líder do projeto, por isso você deve votar nele também.”
A única coisa que se deve dizer com relação ao Ricardo é que ele é muito popular. Porém isso não significa que ele deve ser aceito independente de outras razões sólidas.";"Antes de Galileu:
“Todos sabemos que os objetos mais pesados caem mais rapidamente do que objetos mais leves.”

O que era “verdade” para todo mundo antes de Galileu é justificada nessa frase com idéia dessa que não poderia ser diferente, pois todos acham assim é hoje uma interpretação errônea.";;;;;;;
1;Informais;Ataque ao argumentador;Argumentum Ad Hominem;"Essa falácia consiste em referir-se ao oponente de forma pessoal e abusiva por meio de insultos e atques verbais. Usamos o ""ad hominem"" como arma para desacreditar ou reduzir a força da argumentação de nosso adversário.

O uso dessa falácia é uma das táticas mais comuns, usada até em discussões educadas e formais.
Quando atacamos uma pessoa fica mais fácil encontrar argumentos para provar o que queremos falar e assim, desacreditarmos as ações de nossos adversários. Porém, para atacar idéias é necessário achar bons argumentos e evidências que provem a falta de credibilidade dessa idéia. Isso nem sempre é facil de se fazer.
Outro fator que, infelizmente favorece o uso de ""ad hominem"" é o prazer emocional obtido pelo atacante, já que, em geral, a pessoa atacada se irrita. Não é raro que esta irritação faça a pessoa perder o rumo da discussão, partindo também para ataques pessoais. Nesta situação vence aquele que dispõe de uma maior capacidade de maltratar verbalmente o outro.";"""Todos sabemos que o nobre deputado é um mentiroso e trapaceiro costumaz, portanto como podemos concordar com sua idéia de redução de impostos?""

Nesse caso o ""ad hominem"" é usado para atacar um deputado. Seu adversário afirma que o deputado é um mentiroso e trapaceiro, logo suas ações são desacreditadas.";"""Ateísmo é uma filosofia malévola, praticada por comunistas e assassinos."""; Se foi um burguês quem disse isso, certamente é um engodo.;"""Ad Hominem válido: ao Testemunho""
Há uma maneira de usarmos a estrutura ""ad hominem"" de forma válida: quando ela faz parte não de um ataque ao argumentador, mas sim de um ataque ao testemunho.
Alguém pode desacreditar o testemunho de uma pessoa ao mencionarmos que ela é sabidamente mentirosa ou psicótica.

""O senhor está bêbado, como posso acreditar que presenciou este distinto cavalheiro roubando aquela senhora?""

O argumento pode ser desacreditado, uma vez que o testemunho de um bêbado não é confiável, portanto, não teríamos como ter certeza de que ele viu o cavalheiro roubando a senhora.";;;;;
1;Informais;Clamando pela Questão;Petitio Principii;"Ocorre quando as premissas são tão questionáveis quanto a conclusão alcançada.
Usamos a conclusão que estamos tentando estabelecer, como componente ou suporte de uma das premissas. Ou seja, se reescreve a conclusão e a usa como premissa.";"""Sócrates tentou corromper a juventude da Grécia, logo foi justo condená-lo à morte""";"""Eu não sou um marginal, porque não fiz nada de criminoso.""";"""A mulher que teve a infelicidade de se casar com um corno, só pode se consolar dormindo com todo mundo."" (Sacha Guitry)";"Uma forma de se combater este tipo de falácia é reescrever o argumento em sua forma padrão que demonstre bem a sua circularidade:
Em outras palavras, você está dizendo que se X é verdadeiro, então é porque X é verdadeiro

Uma outra situação comum, embora nem sempre constituindo um argumento, ocorre quando alguém tenta explicar um evento por sua definição.";;;;;
1;Informais;Você Também;Tu Quoque;Essa falácia se estabelece quando se usa os erros cometidos por outros - principalmente pelo próprio oponente na discussão - para desconsiderar o argumento apresentado.;"""Como é que você me pede para ser vegetariano, se você adora usar cintos e sapatos de couro?""";"""Não aceito sua acusação de que estamos escrevendo com erros de Português, pois você também erra muito.""";"Ocorre, também, quando uma ação se torna aceitável porque outra pessoa também a cometeu.
""Como posso aceitar o argumento de que fumar faz mal à saúde, se é dito por um médico que fuma tanto quanto eu?""";;;;;;
